endpoint,endpoint_column,model_id,model_label,feature_set,fold,n_train,n_test,n_train_studies,n_test_studies,selected_ridge_alpha,mae,rmse,r2,spearman_rho
pdi,pdi_mean,rf_descriptors,RF: descriptors,descriptors,5,227,43,15,6,,0.041777931973690896,0.04786511081587707,0.38237087960289484,0.6907725827369131
pdi,pdi_mean,ridge_combined,Ridge: combined,combined,1,175,95,20,1,100.0,0.11097098663548988,0.13101180924173686,-2.4942242578985616,-0.12517855604968792
pdi,pdi_mean,ridge_combined,Ridge: combined,combined,2,226,44,17,4,100.0,0.06984763168997364,0.08200076786326203,-0.09858839933731822,-0.030867888282917165
pdi,pdi_mean,ridge_combined,Ridge: combined,combined,3,226,44,16,5,100.0,0.050920748850554996,0.06832461542242363,-0.48633633595733516,0.09790733662348476
pdi,pdi_mean,ridge_combined,Ridge: combined,combined,4,226,44,16,5,100.0,0.0682606615972202,0.09040397516191563,-0.39677593990221594,0.09673553061357755
pdi,pdi_mean,ridge_combined,Ridge: combined,combined,5,227,43,15,6,100.0,0.04692146538627785,0.05629629686848328,0.14562352203235418,0.5155917605268959
pdi,pdi_mean,rf_combined,RF: combined,combined,1,175,95,20,1,,0.07081599591823101,0.09091543347039417,-0.6826938732532877,0.1619579611540563
pdi,pdi_mean,rf_combined,RF: combined,combined,2,226,44,17,4,,0.07473439542388247,0.08791424975790822,-0.2627509936244623,-0.1257539060834965
pdi,pdi_mean,rf_combined,RF: combined,combined,3,226,44,16,5,,0.05405239137580884,0.0753849782242486,-0.8093906037501502,0.284882416459161
pdi,pdi_mean,rf_combined,RF: combined,combined,4,226,44,16,5,,0.0705425253035963,0.09610229861574708,-0.5784078849596559,-0.11747694210135001
pdi,pdi_mean,rf_combined,RF: combined,combined,5,227,43,15,6,,0.03665709839930651,0.043121884367063434,0.49871456282879556,0.7387231320198642
encapsulation_efficiency,ee_mean,baseline_mean,Mean baseline,none,1,172,95,26,1,,13.510162178702572,18.3833692061736,-0.6059832828948346,
encapsulation_efficiency,ee_mean,baseline_mean,Mean baseline,none,2,224,43,22,5,,22.933040905315625,27.384486564454622,-0.6746153044254262,
encapsulation_efficiency,ee_mean,baseline_mean,Mean baseline,none,3,224,43,21,6,,16.55604235880398,17.64194170458073,-0.5671815804971299,
encapsulation_efficiency,ee_mean,baseline_mean,Mean baseline,none,4,224,43,20,7,,17.94724356312292,19.084282794941966,-0.7900681931462052,
encapsulation_efficiency,ee_mean,baseline_mean,Mean baseline,none,5,224,43,19,8,,16.42337936046511,18.070777623517614,-1.1611507804877923,
encapsulation_efficiency,ee_mean,ridge_composition,Ridge: composition,composition,1,172,95,26,1,0.01,13.928201295719226,18.96212206841803,-0.7086955061819984,
encapsulation_efficiency,ee_mean,ridge_composition,Ridge: composition,composition,2,224,43,22,5,0.01,23.40975988653611,31.203381806780516,-1.17424850897749,-0.008573344411336581
encapsulation_efficiency,ee_mean,ridge_composition,Ridge: composition,composition,3,224,43,21,6,100.0,15.554606966652626,17.167079898228497,-0.4839504851754499,0.11397641797751205
